	Peak1	Peak2	Peak3	Cen1	Cen2	Cen3	Size1	Size2	Size3	Sum	Peak	Volume
60	72.0	75.0	83.0	72.78073176233157	74.97906826919451	82.78886200562656	2.837179374538322	3.0420530658267495	3.0863926994226665	5453.491008378565	10.75103759765625	1899.0
61	58.0	65.0	84.0	57.946828083330054	64.96993017735198	83.36808556401171	2.9068334314662807	2.011540231840845	4.123884197924861	3422.8280707597733	5.71489143371582	1563.0
62	24.0	42.0	86.0	24.046042416740526	41.96017630746338	86.36961969473263	2.07079940506839	3.261322691275858	2.7891601587905104	3257.0254081189632	9.232046127319336	1346.0
63	57.0	42.0	86.0	57.02504023173219	42.00316089945662	86.62210286113715	1.931439400343504	3.2506281904247496	3.5859197864760017	3861.049681544304	6.889467239379883	1588.0
64	36.0	85.0	87.0	36.956699677144904	85.17280632854448	85.95627016444618	2.516196227455119	2.391593584798829	3.3855215608123426	1675.64352196455	5.154587745666504	1016.0
65	19.0	26.0	88.0	19.02953543403487	26.031793217620095	88.29426743291887	2.7875317215507267	2.582062244530396	3.741623726119255	4430.1318818330765	7.430243968963623	1783.0
66	42.0	34.0	88.0	42.02053623789121	34.14553497032416	88.36052373920901	2.3467405583554646	2.9535333462062114	4.03872076331749	4855.152814090252	11.04297924041748	1800.0
67	89.0	73.0	89.0	88.84745751994242	73.05273418813992	89.27761344997536	2.1976340765252935	3.1739136604727975	3.5790429175046414	3368.2004804611206	6.855454921722412	1508.0
68	100.0	82.0	89.0	100.08318198028854	80.92368545287052	88.9458264832959	1.8160287356245022	2.424089692778922	3.84507697068426	584.2881609201431	1.7789499759674072	407.0
69	28.0	93.0	91.0	27.1699204563388	92.89103379955517	91.52069895008054	3.6027887751772703	2.1389774111277426	3.3058572251962133	3958.0741413533688	7.514144420623779	1703.0
70	41.0	46.0	92.0	41.008468873275504	46.014705585199685	91.64446463315709	2.081335393534334	3.2254861204967633	3.603092593992594	4985.155993118882	9.290362358093262	1706.0
71	98.0	30.0	93.0	98.66403714769297	29.75163755337411	91.73911799093818	2.9558622723732637	2.9970144461680737	4.6087994216366726	6505.660847216845	8.806178092956543	2477.0
72	68.0	104.0	93.0	68.00834704671219	104.02065653770985	92.41112052444088	3.020245355684277	2.2179525891975502	2.6986578014251323	2300.581825762987	7.142839431762695	1068.0
73	18.0	85.0	94.0	18.262850471972712	84.71076783429935	93.35735321332612	1.2902316112766234	2.2350821970781434	1.6498192602911328	211.66082364320755	3.8756918907165527	151.0
74	75.0	62.0	95.0	75.16103238661447	62.21474141540217	96.83334037880998	1.802266645553818	2.955010246796465	2.6468287784783313	1045.9047378599644	5.552513122558594	637.0
75	74.0	32.0	97.0	74.88479499269182	31.178181597107688	96.05597796434634	2.8170266852767303	2.5376689595972883	2.4230047701479385	2067.536180317402	5.204556465148926	929.0
76	36.0	79.0	97.0	36.00744102672975	79.33702130001627	96.92771102698285	2.2459486540061757	3.045529429207274	2.941939812921927	2870.4344853907824	7.847351551055908	1275.0
77	91.0	26.0	98.0	90.75219163081898	25.942768067284753	98.48271144161819	2.1850258857610814	3.3434234130738987	3.858693549862629	5627.813690394163	10.823752403259277	1953.0
78	88.0	37.0	98.0	88.2247272992991	36.969818541778224	98.9099167847438	2.9811718220959653	2.155900328261637	3.0563433142699115	2511.374342262745	7.066348552703857	1210.0
79	68.0	44.0	98.0	68.04691770750648	43.8811351300393	98.77614804830698	2.411473636502223	2.7259424213754206	3.5137961311006465	3368.6476935446262	5.56418514251709	1422.0
80	19.0	86.0	98.0	17.800996410984425	86.76452151265556	97.37718046010326	1.314469362155245	2.630436513860064	1.6973294888878432	353.8102160990238	3.6724085807800293	242.0
81	59.0	19.0	99.0	59.05148049291312	18.993176741371077	98.69025671539603	2.598417497814878	1.7659282619253376	3.239140634729521	1267.152057915926	3.537529945373535	737.0
82	48.0	101.0	100.0	48.34512184766489	99.88339299853227	100.73898140814596	2.3750241622080432	3.192998128476899	3.1245648939602853	853.7825746834278	3.6852211952209473	541.0
83	43.0	39.0	101.0	42.9763049056592	38.89830439260432	101.48970930052042	2.120352635898451	3.3246097368009937	3.4050627408979457	4613.175984740257	10.363602638244629	1615.0
84	29.0	17.0	103.0	30.005289074515016	15.990753110025173	103.7541292014165	2.8023603056618502	2.322304664690575	2.6881826204833295	1457.4873649775982	5.723533630371094	818.0
85	70.0	33.0	103.0	68.93321729231815	33.163537294803625	103.29560970498491	2.8120731748575016	2.278076034827131	3.1107253120568457	3072.074967622757	10.278475761413574	1255.0
86	61.0	31.0	107.0	61.14310691361576	31.262513284332105	106.84087290842086	2.262065243773288	2.7884763003616397	2.5715658365152474	1626.3553791940212	6.581214904785156	821.0
